movimiento_id,fecha,sku,sucursal_id,tipo_movimiento,cantidad,costo_unitario,costo_total,usuario
MOV-000001,2023-01-01,SKU-1024,SUC-07,salida_venta,19,350.72,6663.68,USR-13
MOV-000002,2023-01-01,SKU-1034,SUC-05,entrada,12,1210.2,14522.4,USR-18
MOV-000003,2023-01-01,SKU-1023,SUC-10,entrada,12,470.95,5651.4,USR-19
MOV-000004,2023-01-01,SKU-1027,SUC-01,entrada,14,2191.29,30678.06,USR-15
MOV-000005,2023-01-01,SKU-1021,SUC-05,salida_venta,1,1178.01,1178.01,USR-04
MOV-000006,2023-01-01,SKU-1025,SUC-04,salida_venta,17,2204.78,37481.26,USR-08
MOV-000007,2023-01-01,SKU-1035,SUC-07,vencimiento_baja,3,901.11,2703.33,USR-19
MOV-000008,2023-01-01,SKU-1008,SUC-03,salida_venta,11,1680.26,18482.86,USR-11
MOV-000009,2023-01-01,SKU-1026,SUC-08,entrada,12,1369.15,16429.8,USR-10
MOV-000010,2023-01-01,SKU-1027,SUC-08,salida_venta,12,2191.29,26295.48,USR-20
MOV-000011,2023-01-01,SKU-1015,SUC-10,salida_venta,13,676.84,8798.92,USR-12
MOV-000012,2023-01-01,SKU-1022,SUC-10,salida_venta,3,2186.65,6559.95,USR-12
MOV-000013,2023-01-01,SKU-1013,SUC-04,entrada,35,240.18,8406.3,USR-01
MOV-000014,2023-01-01,SKU-1033,SUC-10,entrada,15,540.79,8111.85,USR-01
MOV-000015,2023-01-01,SKU-1031,SUC-05,salida_venta,10,1324.26,13242.6,USR-02
MOV-000016,2023-01-01,SKU-1034,SUC-02,ajuste_negativo,4,1210.2,4840.8,USR-10
MOV-000017,2023-01-01,SKU-1003,SUC-08,entrada,13,1398.76,18183.88,USR-19
MOV-000018,2023-01-01,SKU-1018,SUC-08,entrada,33,233.74,7713.42,USR-07
MOV-000019,2023-01-01,SKU-1035,SUC-10,entrada,39,901.11,35143.29,USR-15
MOV-000020,2023-01-01,SKU-1013,SUC-09,entrada,17,240.18,4083.06,USR-20
MOV-000021,2023-01-01,SKU-1000,SUC-01,devolucion,13,1627.41,21156.33,USR-08
MOV-000022,2023-01-01,SKU-1023,SUC-07,entrada,27,470.95,12715.65,USR-12
MOV-000023,2023-01-01,SKU-1008,SUC-07,entrada,4,1680.26,6721.04,USR-20
MOV-000024,2023-01-01,SKU-1006,SUC-02,ajuste_negativo,5,1191.81,5959.05,USR-16
MOV-000025,2023-01-01,SKU-1033,SUC-07,salida_venta,16,540.79,8652.64,USR-20
MOV-000026,2023-01-01,SKU-1033,SUC-08,devolucion,9,540.79,4867.11,USR-01
MOV-000027,2023-01-01,SKU-1036,SUC-07,entrada,36,1165.64,41963.04,USR-02
MOV-000028,2023-01-01,SKU-1032,SUC-06,devolucion,14,1830.51,25627.14,USR-01
MOV-000029,2023-01-01,SKU-1012,SUC-05,entrada,29,1957.92,56779.68,USR-13
MOV-000030,2023-01-01,SKU-1031,SUC-04,vencimiento_baja,13,1324.26,17215.38,USR-18
MOV-000031,2023-01-01,SKU-1004,SUC-07,salida_venta,3,1102.73,3308.19,USR-15
MOV-000032,2023-01-01,SKU-1036,SUC-05,entrada,8,1165.64,9325.12,USR-15
MOV-000033,2023-01-02,SKU-1021,SUC-02,devolucion,9,1178.01,10602.09,USR-01
MOV-000034,2023-01-02,SKU-1019,SUC-04,entrada,14,2430.01,34020.14,USR-18
MOV-000035,2023-01-02,SKU-1038,SUC-08,entrada,17,2103.19,35754.23,USR-08
MOV-000036,2023-01-02,SKU-1035,SUC-06,salida_venta,8,901.11,7208.88,USR-15
MOV-000037,2023-01-02,SKU-1012,SUC-07,salida_venta,13,1957.92,25452.96,USR-05
MOV-000038,2023-01-02,SKU-1003,SUC-09,salida_venta,6,1398.76,8392.56,USR-13
MOV-000039,2023-01-02,SKU-1032,SUC-05,salida_venta,1,1830.51,1830.51,USR-04
MOV-000040,2023-01-02,SKU-1011,SUC-05,vencimiento_baja,9,672.44,6051.96,USR-17
MOV-000041,2023-01-02,SKU-1011,SUC-05,salida_venta,20,672.44,13448.8,USR-13
MOV-000042,2023-01-02,SKU-1005,SUC-08,entrada,13,999.42,12992.46,USR-12
MOV-000043,2023-01-02,SKU-1028,SUC-07,salida_venta,11,2488.26,27370.86,USR-15
MOV-000044,2023-01-02,SKU-1000,SUC-03,entrada,30,1627.41,48822.3,USR-18
MOV-000045,2023-01-02,SKU-1026,SUC-06,entrada,3,1369.15,4107.45,USR-03
MOV-000046,2023-01-02,SKU-1013,SUC-10,salida_venta,13,240.18,3122.34,USR-11
MOV-000047,2023-01-02,SKU-1004,SUC-01,entrada,22,1102.73,24260.06,USR-14
MOV-000048,2023-01-02,SKU-1036,SUC-07,entrada,34,1165.64,39631.76,USR-02
MOV-000049,2023-01-02,SKU-1026,SUC-07,devolucion,7,1369.15,9584.05,USR-17
MOV-000050,2023-01-02,SKU-1030,SUC-08,salida_venta,12,1792.98,21515.76,USR-12
MOV-000051,2023-01-02,SKU-1003,SUC-05,salida_venta,18,1398.76,25177.68,USR-17
MOV-000052,2023-01-02,SKU-1039,SUC-07,salida_venta,17,1244.89,21163.13,USR-16
MOV-000053,2023-01-02,SKU-1027,SUC-08,salida_venta,7,2191.29,15339.03,USR-13
MOV-000054,2023-01-02,SKU-1023,SUC-09,salida_venta,7,470.95,3296.65,USR-12
MOV-000055,2023-01-02,SKU-1034,SUC-08,entrada,20,1210.2,24204.0,USR-17
MOV-000056,2023-01-02,SKU-1007,SUC-01,entrada,33,2087.16,68876.28,USR-03
MOV-000057,2023-01-02,SKU-1001,SUC-04,entrada,40,1862.26,74490.4,USR-04
MOV-000058,2023-01-02,SKU-1031,SUC-08,entrada,49,1324.26,64888.74,USR-07
MOV-000059,2023-01-02,SKU-1039,SUC-03,entrada,30,1244.89,37346.7,USR-05
MOV-000060,2023-01-02,SKU-1003,SUC-05,entrada,15,1398.76,20981.4,USR-08
MOV-000061,2023-01-02,SKU-1039,SUC-04,salida_venta,13,1244.89,16183.57,USR-18
MOV-000062,2023-01-02,SKU-1009,SUC-04,salida_venta,17,752.7,12795.9,USR-08
MOV-000063,2023-01-02,SKU-1006,SUC-10,salida_venta,9,1191.81,10726.29,USR-01
MOV-000064,2023-01-02,SKU-1017,SUC-08,ajuste_negativo,19,194.02,3686.38,USR-06
MOV-000065,2023-01-02,SKU-1026,SUC-09,salida_venta,10,1369.15,13691.5,USR-01
MOV-000066,2023-01-02,SKU-1036,SUC-06,salida_venta,20,1165.64,23312.8,USR-13
MOV-000067,2023-01-02,SKU-1027,SUC-02,ajuste_negativo,15,2191.29,32869.35,USR-19
MOV-000068,2023-01-02,SKU-1008,SUC-04,ajuste_negativo,12,1680.26,20163.12,USR-08
MOV-000069,2023-01-02,SKU-1030,SUC-07,entrada,1,1792.98,1792.98,USR-14
MOV-000070,2023-01-03,SKU-1028,SUC-06,entrada,1,2488.26,2488.26,USR-06
MOV-000071,2023-01-03,SKU-1035,SUC-09,salida_venta,7,901.11,6307.77,USR-11
MOV-000072,2023-01-03,SKU-1003,SUC-05,entrada,13,1398.76,18183.88,USR-05
MOV-000073,2023-01-03,SKU-1008,SUC-07,salida_venta,1,1680.26,1680.26,USR-15
MOV-000074,2023-01-03,SKU-1030,SUC-10,entrada,50,1792.98,89649.0,USR-14
MOV-000075,2023-01-03,SKU-1024,SUC-07,vencimiento_baja,15,350.72,5260.8,USR-20
MOV-000076,2023-01-03,SKU-1021,SUC-10,salida_venta,11,1178.01,12958.11,USR-01
MOV-000077,2023-01-03,SKU-1011,SUC-06,entrada,40,672.44,26897.6,USR-04
MOV-000078,2023-01-03,SKU-1023,SUC-08,salida_venta,7,470.95,3296.65,USR-13
MOV-000079,2023-01-03,SKU-1000,SUC-10,salida_venta,11,1627.41,17901.51,USR-01
MOV-000080,2023-01-03,SKU-1027,SUC-03,salida_venta,11,2191.29,24104.19,USR-02
MOV-000081,2023-01-03,SKU-1007,SUC-03,salida_venta,10,2087.16,20871.6,USR-03
MOV-000082,2023-01-03,SKU-1027,SUC-01,devolucion,6,2191.29,13147.74,USR-13
MOV-000083,2023-01-03,SKU-1014,SUC-05,devolucion,2,1037.43,2074.86,USR-16
MOV-000084,2023-01-03,SKU-1010,SUC-04,salida_venta,5,587.01,2935.05,USR-15
MOV-000085,2023-01-03,SKU-1019,SUC-03,salida_venta,16,2430.01,38880.16,USR-09
MOV-000086,2023-01-03,SKU-1031,SUC-07,entrada,15,1324.26,19863.9,USR-11
MOV-000087,2023-01-03,SKU-1028,SUC-02,salida_venta,7,2488.26,17417.82,USR-04
MOV-000088,2023-01-03,SKU-1019,SUC-03,entrada,44,2430.01,106920.44,USR-11
MOV-000089,2023-01-03,SKU-1005,SUC-10,salida_venta,18,999.42,17989.56,USR-07
MOV-000090,2023-01-03,SKU-1004,SUC-03,salida_venta,12,1102.73,13232.76,USR-03
MOV-000091,2023-01-03,SKU-1039,SUC-04,salida_venta,9,1244.89,11204.01,USR-11
MOV-000092,2023-01-03,SKU-1033,SUC-05,entrada,13,540.79,7030.27,USR-18
MOV-000093,2023-01-03,SKU-1006,SUC-09,devolucion,9,1191.81,10726.29,USR-09
MOV-000094,2023-01-03,SKU-1034,SUC-08,entrada,17,1210.2,20573.4,USR-02
MOV-000095,2023-01-03,SKU-1019,SUC-07,salida_venta,18,2430.01,43740.18,USR-08
